Project Name,Name and Location,Latitude,Longitude,Project Type,Borough,Opening Date,Year,Image link,Body Text
Central Park Zoo,"Central Park Zoo,Manhattan, NYC",-73.9718335,40.767778,City Park,Manhattan,,1934,http://www.cityprofile.com/forum/attachments/new-york/27967-new-york-central_park_zoo2.jpg,"Central Park Zoo,Manhattan, NYC"
Conservatory Garden,"Conservatory Garden,Manhattan, NYC",-73.9524239,40.7937474,City Park,Manhattan,,1937,http://www.centralpark.com/updata/Image/attractions/the-summer-conservatory-garden-f.jpg,"Conservatory Garden,Manhattan, NYC"
Delacorte Theater,"Delacorte Theater,Manhattan, NYC",-73.9688701,40.7802449,City Park,Manhattan,,1962,https://media.timeout.com/images/100322559/630/472/image.jpg,"Delacorte Theater,Manhattan, NYC"
Loeb Boathouse,"Loeb Boathouse,Manhattan, NYC",-73.9687344,40.7753313,City Park,Manhattan,,1952,http://www.thecentralparkboathouse.com/images/photos-venue/lightbox/big3.jpg,"Loeb Boathouse,Manhattan, NYC"
Krebs Boathouses,"Krebs Boathouses,Manhattan, NYC",-73.9665565,40.7740297,City Park,Manhattan,,1953,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11386451_1618172538466593_619210750_n.jpg,"Krebs Boathouses,Manhattan, NYC"
Wollman Memorial Skating Rink,"Wollman Memorial Skating Rink,Manhattan, NYC",-73.9744034,40.7678214,City Park,Manhattan,,1950,http://assets.centralparknyc.org/images/things-to-see-and-do/wollman-l.jpg,"Wollman Memorial Skating Rink,Manhattan, NYC"
St Marys Park,"St Marys Park,Bronx, NYC",-73.9120243,40.8117387,City Park,Bronx,,1951,https://www.nycgovparks.org/photo_gallery/full_size/14379.jpg,"St Marys Park,Bronx, NYC"
Van Cortlandt Park,"Van Cortlandt Park,Bronx, NYC",-73.8859514,40.8979346,City Park,Bronx,,1938,http://www.kermitproject.org/newdeal/davc10-r.jpg,"Van Cortlandt Park,Bronx, NYC"
Bronx Park,"Bronx Park,Bronx, NYC",-73.87425,40.8604975,City Park,Bronx,,1934,https://www.nycgovparks.org/photo_gallery/full_size/10359.jpg,"Bronx Park,Bronx, NYC"
Ferry Point Park,"Ferry Point Park,Bronx, NYC",-73.8377874,40.8114955,City Park,Bronx,,1940,https://www.nycgovparks.org/photo_gallery/full_size/10494.jpg,"Ferry Point Park,Bronx, NYC"
Soundview Park,"Soundview Park,Bronx, NYC",-73.8727799,40.8171401,City Park,Bronx,,1937,https://www.nycgovparks.org/photo_gallery/full_size/17715.jpg,"Soundview Park,Bronx, NYC"
New York Coliseum,"New York Coliseum,Manhattan, NYC",-73.983299,40.767545,Civic Center,Manhattan,,1953,https://media.licdn.com/mpr/mpr/shrinknp_800_800/AAEAAQAAAAAAAAbWAAAAJDYxZGMxMmY2LWIxNmQtNDkyMy05N2IzLWNkNWUxNWE5OWZjNA.jpg,New York Coliseum  New York ColiseumNew York ColiseumNew York ColiseumNew York ColiseumNew York ColiseumNew York Coliseum
Shea Stadium,"Shea Stadium,Queens, NYC",-73.8437,40.75239,Civic Center,Queens,,1964,https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/1-shea-stadium-new-york-mets-frank-romeo.jpg,"Shea Stadium,Queens, NYC"
Singer Bowl,"Singer Bowl,Queens, NYC",-73.8456118,40.7503676,Civic Center,Queens,,1964,http://i15.photobucket.com/albums/a361/AlbumZeppelin/worlds%20fair/FlushingMeadow-SingerBowl.jpg,"Singer Bowl,Queens, NYC"
Pelham and Split Rock Golf Courses and Clubhouse,"Pelham and Split Rock Golf Courses and Clubhouse,Bronx, NYC",-73.8086361,40.8736833,Golf Course,Bronx,,1936,https://upload.wikimedia.org/wikipedia/commons/b/be/Pelham_Split_Rock_golf_club_jeh.JPG,Pelham and Split Rock Golf Courses and Clubhouse Pelham and Split Rock Golf Courses and Clubhouse Pelham and Split Rock Golf Courses and Clubhouse Pelham and Split Rock Golf Courses and Clubhouse Pelham and Split Rock Golf Courses and Clubhouse Pelham and Split Rock Golf Courses and Clubhouse
Stuyvesant Town,"Stuyvesant Town,Manhattan, NYC",-73.9778494,40.7316903,Housing,Manhattan,,1947,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/igK.fm54I3xc/v1/800x-1.jpg,Stuyvesant Town Stuyvesant TownStuyvesant TownStuyvesant TownStuyvesant TownStuyvesant TownStuyvesant Town
Washington Square Village,"Washington Square Village,Manhattan, NYC",-73.998173,40.7276785,Housing,Manhattan,,1956,https://upload.wikimedia.org/wikipedia/commons/3/39/Washington_Square_Village_south_buldings.jpg,Washington Square Village Washington Square VillageWashington Square VillageWashington Square VillageWashington Square Village
Silver Towers,"Silver Towers,Manhattan, NYC",-73.9991584,40.7607295,Housing,Manhattan,,1961,http://ontherealny.com/wp-content/uploads/2013/04/001.jpg,Silver Towers  Silver TowersSilver TowersSilver TowersSilver TowersSilver Towers
110 Bleeker Street,"110 Bleeker Street,Manhattan, NYC",-73.9985965,40.7267143,Housing,Manhattan,,1961,https://cdn0.vox-cdn.com/thumbor/R4akVbwGLLPVEPgK36RUvT0gy-A=/0x158:650x646/1200x900/filters:focal(0x158:650x646)/cdn0.vox-cdn.com/uploads/chorus_image/image/48150375/university-village.0.jpg,110 Bleeker Street  110 Bleeker Street110 Bleeker Street110 Bleeker Street110 Bleeker Street110 Bleeker Street110 Bleeker Street
Seward Park Housing,"Seward Park Housing,Manhattan, NYC",-73.9880074,40.7157725,Housing,Manhattan,,1958,https://corlears-hook-studio-ii.wikispaces.com/file/view/Picture_12.png/118017651/Picture_12.png,Seward Park Housing  Seward Park HousingSeward Park HousingSeward Park HousingSeward Park HousingSeward Park Housing
