Project Name,Name and Location,Latitude,Longitude,Project Type,Borough,Opening Date,Year,Image link,Body Text
St Nicholas Houses,"St Nicholas Houses,Manhattan, NYC",-73.9524,40.806016,Housing,Manhattan,,1954,http://assets.nydailynews.com/polopoly_fs/1.1940763.1410831332!/img/httpImage/image.jpg_gen/derivatives/article_750/nycha16n-20-web.jpg,"St Nicholas Houses,Manhattan, NYC"
Rangel Houses,"Colonial Park Houses,Manhattan, NYC",-73.9363889,40.8336111,Housing,Manhattan,,1951,"http://images.complex.com/complex/image/upload/c_limit,w_680/fl_lossy,pg_1,q_auto/zh8ns9uxedcigvwmbpfr.jpg","Colonial Park Houses,Manhattan, NYC"
Cooper Park Houses,"Cooper Park Houses,Brooklyn, NYC",-73.9401389,40.7184169,Housing,Brooklyn,,1953,http://forgotten-ny.com/wp-content/uploads/2016/05/P1210448.jpg,"Cooper Park Houses,Brooklyn, NYC"
Bushwick Houses,"Bushwick Houses,Brooklyn, NYC",-73.9385687,40.7036515,Housing,Brooklyn,,1960,http://assets.nydailynews.com/polopoly_fs/1.1940769.1410833964!/img/httpImage/image.jpg_gen/derivatives/article_750/nycha16n-14-web.jpg,"Bushwick Houses,Brooklyn, NYC"
Sumner Houses,"Sumner Houses,Brooklyn, NYC",-73.9411111,40.6972222,Housing,Brooklyn,,1958,http://bedfordandbowery.com/wp-content/uploads/2015/01/image-42.jpg,"Sumner Houses,Brooklyn, NYC"
Marcy Houses,"Marcy Houses,Brooklyn, NYC",-73.9512061,40.6973357,Housing,Brooklyn,,1949,http://assets.nydailynews.com/polopoly_fs/1.2739110.1470352849!/img/httpImage/image.jpg_gen/derivatives/article_750/rape5n-1-web.jpg,"Marcy Houses,Brooklyn, NYC"
Farragut Houses,"Farragut Houses,Brooklyn, NYC",-73.98173,40.6990089,Housing,Brooklyn,,1952,https://static01.nyt.com/images/2015/04/19/nyregion/19FARRAGUTJP3/19FARRAGUTJP3-master1050.jpg,"Farragut Houses,Brooklyn, NYC"
Gowanus Houses,"Gowanus Houses,Brooklyn, NYC",-73.9892241,40.6834758,Housing,Brooklyn,,1949,http://assets.nydailynews.com/polopoly_fs/1.1834050.1403085905!/img/httpImage/image.jpg_gen/derivatives/article_750/projects.jpg,"Gowanus Houses,Brooklyn, NYC"
Brevoort Houses,"Brevoort Houses,Brooklyn, NYC",-73.9238889,40.6802778,Housing,Brooklyn,,1955,http://315gqf1cb88e2qagu3f9xz91.wpengine.netdna-cdn.com/wp-content/uploads/2015/01/dsc03417-1024x768.jpg,"Brevoort Houses,Brooklyn, NYC"
Albany Houses,"Albany Houses,Brooklyn, NYC",-73.9368498,40.6732924,Housing,Brooklyn,,1950,http://technico-csi.com/wp/wp-content/themes/space/images/AlbanyWebPhoto.jpg,"Albany Houses,Brooklyn, NYC"
Howard Houses,"Howard Houses,Brooklyn, NYC",-73.9089308,40.6721531,Housing,Brooklyn,,1955,http://assets.nydailynews.com/polopoly_fs/1.160111.1314011976!/img/httpImage/image.jpg_gen/derivatives/article_750/alg-howard-houses-jpg.jpg,"Howard Houses,Brooklyn, NYC"
Brownsville Houses,"Brownsville Houses,Brooklyn, NYC",-73.9191242,40.6676546,Housing,Brooklyn,,1948,http://assets.nydailynews.com/polopoly_fs/1.1702216.1393427513!/img/httpImage/image.jpg_gen/derivatives/article_750/arrest27n-1-web.jpg,"Brownsville Houses,Brooklyn, NYC"
Van Dyke Houses,"Van Dyke Houses,Brooklyn, NYC",-73.9031205,40.6654317,Housing,Brooklyn,,1955,https://static01.nyt.com/images/2014/09/28/nyregion/28POOR3/28POOR3-master675.jpg,"Van Dyke Houses,Brooklyn, NYC"
Morrisania Houses,"Morisania Houses,Bronx, NYC",-73.906766,40.8331305,Housing,Bronx,,1963,http://assets.nydailynews.com/polopoly_fs/1.2881815.1479723269!/img/httpImage/image.jpg_gen/derivatives/article_750/article-bxfire-1-1116.jpg,"Morisania Houses,Bronx, NYC"
Melrose Houses,"Melrose Houses,Bronx, NYC",-73.919441,40.820741,Housing,Bronx,,1952,https://static01.nyt.com/images/2016/02/06/nyregion/06COPS1/06COPS1-master768.jpg,"Melrose Houses,Bronx, NYC"
Astoria Houses,"Astoria Houses,Queens, NYC",-73.9328956,40.7730609,Housing,Queens,,1951,https://s-media-cache-ak0.pinimg.com/736x/f9/43/13/f943133808a632747fdfe00bc68b5b0e.jpg,"Astoria Houses,Queens, NYC"
Fordham University,"Fordham University,Manhattan, NYC",-73.9852715,40.7710994,Lincoln Center,Manhattan,,1962,https://upload.wikimedia.org/wikipedia/commons/f/f3/Fordham_University_Lincoln_Center.JPG,Fordham University   Fordham UniversityFordham UniversityFordham UniversityFordham UniversityFordham UniversityFordham UniversityFordham University
Lincoln Center Avery Fischer Hall,"Lincoln Center Avery Fischer Hall,Manhattan, NYC",-73.9830143,40.772822,Lincoln Center,Manhattan,,1962,https://s-media-cache-ak0.pinimg.com/originals/cd/11/9e/cd119ee7d1b5d99de7e4ab998f4f6a1a.jpg,Lincoln Center Avery Fischer Hall  Lincoln Center Avery Fischer HallLincoln Center Avery Fischer HallLincoln Center Avery Fischer HallLincoln Center Avery Fischer HallLincoln Center Avery Fischer HallLincoln Center Avery Fischer Hall
Lincoln Center New York State Theater,"Lincoln Center New York State Theater,Manhattan, NYC",-73.9838379,40.7717872,Lincoln Center,Manhattan,,1964,https://upload.wikimedia.org/wikipedia/commons/4/48/New_York_City_Opera.jpg,Lincoln Center New York State Theater  Lincoln Center New York State TheaterLincoln Center New York State TheaterLincoln Center New York State TheaterLincoln Center New York State TheaterLincoln Center New York State Theater
Lincoln Center Vivian Beaumont Theater,"Lincoln Center Vivian Beaumont Theater,Manhattan, NYC",-73.9842697,40.7734636,Lincoln Center,Manhattan,,1965,http://www.lct.org/media/filer_public_thumbnails/filer_public/67/a8/67a8f989-c5b2-4f2f-9abc-08aa419dff02/lct3_2_lawn_390h.jpg__50000x390_q85_subsampling-2.jpg,Lincoln Center Vivian Beaumont Theater   Lincoln Center Vivian Beaumont TheaterLincoln Center Vivian Beaumont TheaterLincoln Center Vivian Beaumont TheaterLincoln Center Vivian Beaumont TheaterLincoln Center Vivian Beaumont TheaterLincoln Center Vivian Beaumont Theater
Lincoln Center Library for the Performing Arts,"Lincoln Center Library for the Performing Arts,Manhattan, NYC",-73.9849395,40.7731543,Lincoln Center,Manhattan,,1965,http://d2h3be0wxzd04n.cloudfront.net/uploads/mapplace.images.heroLarge-d61bf95dc18d835b4cb5310ec799ecc0.jpg,Lincoln Center Library for the Performing Arts    Lincoln Center Library for the Performing ArtsLincoln Center Library for the Performing ArtsLincoln Center Library for the Performing ArtsLincoln Center Library for the Performing ArtsLincoln Center Library for the Performing Arts
Lincoln Center Metropolitan Opera House,"Lincoln Center Metropolitan Opera House,Manhattan, NYC",-73.9841644,40.7727216,Lincoln Center,Manhattan,,1966,https://recitative.files.wordpress.com/2014/04/met-2014-4.jpg,Lincoln Center Metropolitan Opera House    Lincoln Center Metropolitan Opera HouseLincoln Center Metropolitan Opera HouseLincoln Center Metropolitan Opera HouseLincoln Center Metropolitan Opera HouseLincoln Center Metropolitan Opera HouseLincoln Center Metropolitan Opera House
Juliard,"Juliard,Manhattan, NYC",-73.9828286,40.7737587,Lincoln Center,Manhattan,,1969,http://jlgreene.org/wp-content/uploads/jlgreene14-1240x698.jpg,Juliard  JuliardJuliardJuliardJuliardJuliardJuliardJuliardJuliardJuliardJuliardJuliardJuliardJuliardJuliardJuliard
Damrosch Park & Guggenheim Band Shell,"Damrosch Park & Guggenheim Band Shell,Manhattan, NYC",-73.9853341,40.7723499,Lincoln Center,Manhattan,,1969,https://c1.staticflickr.com/8/7597/16289649923_e2ec478c37_b.jpg,Damrosch Park & Guggenheim Band Shell  Damrosch Park & Guggenheim Band ShellDamrosch Park & Guggenheim Band ShellDamrosch Park & Guggenheim Band ShellDamrosch Park & Guggenheim Band ShellDamrosch Park & Guggenheim Band ShellDamrosch Park & Guggenheim Band Shell
American Red Cross Headquarters,"American Red Cross Headquarters,Manhattan, NYC",-73.9935549,40.7643843,Office,Manhattan,,1963,http://graphics7.nytimes.com/images/2004/10/29/nyregion/29opera.large1.jpg,American Red Cross Headquarters   American Red Cross HeadquartersAmerican Red Cross HeadquartersAmerican Red Cross HeadquartersAmerican Red Cross HeadquartersAmerican Red Cross Headquarters
Battery Park,"Battery Park,Manhattan, NYC",-74.0170279,40.7032775,Park,Manhattan,,1941,https://www.nycgovparks.org/photo_gallery/full_size/9816.jpg,Battery Park  Battery ParkBattery ParkBattery ParkBattery ParkBattery ParkBattery ParkBattery ParkBattery ParkBattery ParkBattery Park
Bryant Park,"Bryant Park,Manhattan, NYC",-73.9832326,40.7535965,Park,Manhattan,,1934,https://www.nycgovparks.org/photo_gallery/full_size/9789.jpg,Bryant Park  Bryant ParkBryant ParkBryant ParkBryant ParkBryant ParkBryant ParkBryant ParkBryant ParkBryant ParkBryant ParkBryant Park
East River Park,"East River Park,Manhattan, NYC",-73.9738762,40.7191847,Park,Manhattan,,1939,https://upload.wikimedia.org/wikipedia/commons/9/94/East_River_Park_in_Fall_2008_number_2.jpg,East River Park
Riverside Park Extension,"Riverside Park,Manhattan,NYC",-73.97231,40.801234,Park,Manhattan,,1937,https://www.nycgovparks.org/photo_gallery/full_size/9736.jpg,Riverside Park Extension Riverside Park ExtensionRiverside Park ExtensionRiverside Park ExtensionRiverside Park ExtensionRiverside Park Extension
Valley Stream State Park,"Valley Stream State Park,Long Island, NYC",-73.6949854,40.678248,Park,Long Island,,1929,http://www.longisland.com/site_media/images/article/subarticle_image/trail.jpg.644x0_q85.jpg,"Valley Stream State Park,Long Island, NYC"
Hempstead Lake State Park,"Hempstead Lake State Park,Long Island, NYC",-73.6431062,40.683058,Park,Long Island,,1925,http://cdn.newsday.com/polopoly_fs/1.11772635.1462636483!/httpImage/image.jpg_gen/derivatives/display_600/image.jpg,"Hempstead Lake State Park,Long Island, NYC"
Bethpage State Park,"Bethpage State Park,Long Island, NYC",-73.456324,40.7456719,Park,Long Island,,1934,https://images.singletracks.com/2009/trails/01/1126-1233661957.jpg,"Bethpage State Park,Long Island, NYC"
Caumsett State Park,"Caumsett State Park,Long Island, NYC",-73.472089,40.930793,Park,Long Island,,1961,http://media7.trover.com/T/53c9a344d809d85390000001/fixedw_large_4x.jpg,"Caumsett State Park,Long Island, NYC"
Gilgo State Park,"Gilgo State Park,Long Island, NYC",-73.32076,40.6368335,Park,Long Island,,1930,http://cdn.newsday.com/polopoly_fs/1.11517219.1456622480!/httpImage/image.jpeg_gen/derivatives/display_600/image.jpeg,"Gilgo State Park,Long Island, NYC"
Belmont Lake State Park,"Belmont Lake State Park,Long Island, NYC",-73.3403812,40.7361654,Park,Long Island,,1935,http://www.naturallyamazing.com/americasparks/6549.jpg,"Belmont Lake State Park,Long Island, NYC"
Robert Moses State Park,"Robert Moses State Park,Long Island, NYC",-73.2611703,40.6233545,Park,Long Island,,1924,https://upload.wikimedia.org/wikipedia/commons/9/9f/Robert_Moses_Field_4_Deserted_Beach.jpg,"Robert Moses State Park,Long Island, NYC"
Captree State Park,"Captree State Park,Long Island, NYC",-73.2636903,40.647818,Park,Long Island,,1954,http://longislandleisure.com/wp-content/uploads/2015/06/Andrew-K.jpg,"Captree State Park,Long Island, NYC"
Sunken Meadow State Park,"Sunken Meadow State Park,Long Island, NYC",-73.2578766,40.9115951,Park,Long Island,,1926,http://www.naturepicoftheday.com/npods/2008/november/smooth_soft_sunset_800w.jpg,"Sunken Meadow State Park,Long Island, NYC"
Heckscher State Park,"Heckscher State Park,Long Island, NYC",-73.1660222,40.7114392,Park,Long Island,,1929,https://cbsnewyork.files.wordpress.com/2011/05/heckscherstatepark_620_1.jpg?w=620&h=360&crop=1,"Heckscher State Park,Long Island, NYC"
Connetquot State Park,"Connetquo State Park,Long Island, NYC",-73.1523371,40.7481622,Park,Long Island,,1924,http://static.panoramio.com/photos/large/128081048.jpg,"Connetquo State Park,Long Island, NYC"
Wildwood State Park,"Wildwood State Park,Long Island, NYC",-72.8082567,40.9582758,Park,Long Island,,1924,http://activerain.com/image_store/uploads/8/5/2/8/7/ar127612852178258.JPG,"Wildwood State Park,Long Island, NYC"
Hither Hills State Park,"Hither Hills State Park,Long Island, NYC",-72.0101551,41.0090504,Park,Long Island,,1924,https://static.rootsrated.com/image/upload/s--zpESTWDW--/t_rr_large_natural/hcbhipsdpzds9faiociw.jpg,"Hither Hills State Park,Long Island, NYC"
Montauk Point State Park,"Montauk Point State Park,Long Island, NYC",-71.8663074,41.0707208,Park,Long Island,,1924,https://upload.wikimedia.org/wikipedia/commons/5/54/Montauk_Point_Lighthouse.jpg,"Montauk Point State Park,Long Island, NYC"
Battery Parking Garage,"Battery Parking Garage,Manhattan, NYC",-74.014143,40.707487,Parking Garage,Manhattan,,1950,http://static.panoramio.com/photos/large/46678630.jpg,Battery Parking Garage  Battery Parking GarageBattery Parking GarageBattery Parking GarageBattery Parking GarageBattery Parking Garage
Louis Zimmerman Playground,"Zimmerman Playground, New York",-73.8687372,40.866178,Playground Park,,7/15/1934,1934,https://www.nycgovparks.org/photo_gallery/full_size/20999.jpg,Louis Zimmerman Playground Louis Zimmerman Playground Louis Zimmerman Playground Louis Zimmerman Playground v v Louis Zimmerman Playground
Ciccarone Playground,"Ciccarone Playground,Bronx, NYC",-73.8866531,40.8560321,Playground Park,Bronx,7/15/1934,1934,https://www.nycgovparks.org/photo_gallery/full_size/18443.jpg,Ciccarone Playground Ciccarone Playground Ciccarone Playground Ciccarone Playground Ciccarone Playground v
William E Sheridan Playground,"William E. Sheridan Playground,Brooklyn, NYC",-73.964129,40.7151086,Playground Park,Brooklyn,7/15/1934,1934,https://www.nycgovparks.org/photo_gallery/full_size/19520.jpg,William E Sheridan Playground William E Sheridan PlaygroundWilliam E Sheridan PlaygroundWilliam E Sheridan PlaygroundWilliam E Sheridan PlaygroundWilliam E Sheridan PlaygroundWilliam E Sheridan Playground
William McCray Playground,"William McCray Playground,Manhattan, NYC",-73.9829415,40.7699165,Playground Park,Manhattan,7/15/1934,1934,http://3.bp.blogspot.com/-pwue2K5xgiM/Tl55DzT5v9I/AAAAAAAAANQ/mP6p2j2sEwo/s1600/IMG_2378.JPG,William McCray Playground William McCray PlaygroundWilliam McCray PlaygroundWilliam McCray PlaygroundWilliam McCray PlaygroundWilliam McCray PlaygroundWilliam McCray PlaygroundWilliam McCray Playground
Joseph C Sauer Playground,"Joseph C. Sauer Playground,Manhattan, NYC",-73.9796053,40.7281341,Playground Park,Manhattan,7/15/1934,1934,https://livingnewdeal.org/wp-content/uploads/2017/01/20332.jpeg,Joseph C Sauer Playground Joseph C Sauer PlaygroundJoseph C Sauer PlaygroundJoseph C Sauer PlaygroundJoseph C Sauer PlaygroundJoseph C Sauer PlaygroundJoseph C Sauer PlaygroundJoseph C Sauer PlaygroundJoseph C Sauer PlaygroundJoseph C Sauer Playground
Daniel M OConnell Playground,"Daniel M. OConnell Playground,Queens, NYC",-73.7582662,40.6999581,Playground Park,Queens,7/15/1934,1934,https://www.nycgovparks.org/photo_gallery/full_size/19063.jpg,Daniel M OConnell Playground Daniel M OConnell PlaygroundDaniel M OConnell PlaygroundDaniel M OConnell PlaygroundDaniel M OConnell PlaygroundDaniel M OConnell PlaygroundDaniel M OConnell PlaygroundDaniel M OConnell Playground
Howard A Von Dohlen Playground,"Howard A. Von Dohlen Playground,Queens, NYC",-73.8130718,40.6996833,Playground Park,Queens,7/15/1934,1934,https://www.nycgovparks.org/photo_gallery/full_size/21376.jpg,Howard A Von Dohlen Playground Howard A Von Dohlen PlaygroundHoward A Von Dohlen PlaygroundHoward A Von Dohlen PlaygroundHoward A Von Dohlen PlaygroundHoward A Von Dohlen PlaygroundHoward A Von Dohlen Playground
Austin J McDonald Playground,"Austin J. McDonald Playground,Staten Island, NYC",-74.1150952,40.6296228,Playground Park,Staten Island,7/15/1934,1934,https://www.nycgovparks.org/photo_gallery/full_size/19656.jpg,Austin J McDonald Playground Austin J McDonald PlaygroundAustin J McDonald PlaygroundAustin J McDonald PlaygroundAustin J McDonald PlaygroundAustin J McDonald PlaygroundAustin J McDonald PlaygroundAustin J McDonald Playground
Nicholas De Matti Playground,"Nicholas De Matti Playground,Staten Island, NYC",-74.0742565,40.6145077,Playground Park,Staten Island,7/15/1934,1934,https://www.nycgovparks.org/photo_gallery/full_size/19619.jpg,Nicholas De Matti Playground Nicholas De Matti PlaygroundNicholas De Matti PlaygroundNicholas De Matti PlaygroundNicholas De Matti PlaygroundNicholas De Matti PlaygroundNicholas De Matti PlaygroundNicholas De Matti PlaygroundNicholas De Matti PlaygroundNicholas De Matti Playground
Williamsbridge Oval,"Williamsbridge Oval,Bronx, NYC",-73.8775576,40.8779125,Playground Park,Bronx,9/11/1937,1937,https://www.nycgovparks.org/photo_gallery/full_size/20986.jpg,Williamsbridge Oval Williamsbridge OvalWilliamsbridge OvalWilliamsbridge OvalWilliamsbridge OvalWilliamsbridge OvalWilliamsbridge OvalWilliamsbridge OvalWilliamsbridge OvalWilliamsbridge Oval
Sera Delano Roosevelt Park,"Sera Delano Roosevelt Park,Manhattan, NYC",-73.991652,40.7219959,Playground Park,Manhattan,9/14/1934,1934,http://photos.wikimapia.org/p/00/04/68/31/83_big.jpg,Sera Delano Roosevelt Park Sera Delano Roosevelt ParkSera Delano Roosevelt ParkSera Delano Roosevelt ParkSera Delano Roosevelt ParkSera Delano Roosevelt ParkSera Delano Roosevelt ParkSera Delano Roosevelt ParkSera Delano Roosevelt Park
Queensboro Oval,"Queensboro Oval,Manhattan, NYC",-73.9555423,40.7573829,Playground Park,Manhattan,6/20/1934,1934,https://www.nycgovparks.org/photo_gallery/full_size/20187.jpg,Queensboro Oval Queensboro OvalQueensboro OvalQueensboro OvalQueensboro OvalQueensboro OvalQueensboro OvalQueensboro OvalQueensboro Oval
Carl Schurz Park,"Carl Schurz Park,Manhattan, NYC",-73.9436973,40.7751302,Playground Park,Manhattan,4/27/1936,1936,https://www.nycgovparks.org/photo_gallery/full_size/14380.jpg,Carl Schurz Park Carl Schurz ParkCarl Schurz ParkCarl Schurz ParkCarl Schurz ParkCarl Schurz ParkCarl Schurz ParkCarl Schurz ParkCarl Schurz ParkCarl Schurz ParkCarl Schurz Park
P.S. 52,"P.S. 52,Brooklyn, NYC",-73.9396788,40.5877494,Playground Park,Brooklyn,7/22/1951,1951,https://www.nycgovparks.org/photo_gallery/full_size/20820.jpg,P.S. 52 P.S. 52P.S. 52P.S. 52P.S. 52P.S. 52P.S. 52P.S. 52P.S. 52P.S. 52P.S. 52P.S. 52P.S. 52P.S. 52P.S. 52P.S. 52P.S. 52P.S. 52P.S. 52
Zebra Playground,"Zebra Playground,Brooklyn, NYC",-73.9402071,40.5890225,Playground Park,Brooklyn,7/22/1951,1951,https://www.nycgovparks.org/photo_gallery/full_size/19209.jpg,Zebra Playground Zebra PlaygroundZebra PlaygroundZebra PlaygroundZebra PlaygroundZebra PlaygroundZebra PlaygroundZebra PlaygroundZebra PlaygroundZebra PlaygroundZebra Playground
Harlem Lane Playground,"Harlem Lane Playground,Manhattan, NYC",-73.9653551,40.7828647,Playground Park,Manhattan,11/27/1937,1937,https://www.nycgovparks.org/photo_gallery/full_size/20403.jpg,Harlem Lane Playground Harlem Lane PlaygroundHarlem Lane PlaygroundHarlem Lane PlaygroundHarlem Lane PlaygroundHarlem Lane PlaygroundHarlem Lane PlaygroundHarlem Lane PlaygroundHarlem Lane PlaygroundHarlem Lane Playground
Colonel Charles Young Triangle,"Colonel Charles young Triangle,Manhattan, NYC",-73.9357984,40.8272148,Playground Park,Manhattan,11/27/1937,1937,https://irs3.4sqi.net/img/general/width960/36810668_XMEunGcQ-Gv1sBQ1uPvKpQGGqusPBAFrh4sIsKAI38c.jpg,Colonel Charles Young Triangle  Colonel Charles Young TriangleColonel Charles Young TriangleColonel Charles Young TriangleColonel Charles Young TriangleColonel Charles Young TriangleColonel Charles Young TriangleColonel Charles Young Triangle
Frederick Johnson Park,"Frederick Johnson Park,Manhattan, NYC",-73.9356117,40.8248451,Playground Park,Manhattan,3/31/1939,1939,http://2.bp.blogspot.com/-qN3Gx3DpL-M/TnDPNczaFaI/AAAAAAAAAOI/yi8Bk0VQQC8/s1600/IMG_2410.JPG,Frederick Johnson Park Frederick Johnson ParkFrederick Johnson ParkFrederick Johnson ParkFrederick Johnson ParkFrederick Johnson ParkFrederick Johnson ParkFrederick Johnson ParkFrederick Johnson ParkFrederick Johnson Park
Holcombe Rucker Playground,"Holcombe Rucker Playground,Manhattan, NYC",-73.9361266,40.8291747,Playground Park,Manhattan,2/23/1956,1956,https://www.nycgovparks.org/photo_gallery/full_size/20378.jpg,Holcombe Rucker Playground Holcombe Rucker PlaygroundHolcombe Rucker PlaygroundHolcombe Rucker PlaygroundHolcombe Rucker PlaygroundHolcombe Rucker PlaygroundHolcombe Rucker PlaygroundHolcombe Rucker PlaygroundHolcombe Rucker Playground
Shore Road Park,"Shore Road Park,Brookklyn, NYC",-74.0399076,40.6281984,Playground Park,Brookklyn,7/25/1942,1942,https://www.nycgovparks.org/photo_gallery/full_size/14442.jpg,Shore Road Park Shore Road ParkShore Road ParkShore Road ParkShore Road ParkShore Road ParkShore Road ParkShore Road ParkShore Road ParkShore Road ParkShore Road Park
Hamilton Fish Pool and Bathhouse,"Hamilton Fish Pool and Bathhouse,Manhattan, NYC",-73.9814625,40.7199859,Pool,Manhattan,6/27/0193,1936,https://www.nycgovparks.org/photo_gallery/full_size/9847.jpg,Hamilton Fish Pool and Bathhouse  Hamilton Fish Pool and Bathhouse  Hamilton Fish Pool and Bathhouse
Thomas Jefferson Pool and Bathhouse,"Thomas Jefferson Pool and Bathhouse,Manhattan, NYC",-73.9362593,40.7934292,Pool,Manhattan,6/24/1936,1936,http://res.cloudinary.com/mommy-nearest/image/upload/v1403266774/aksuki38ylnkddu1nzus.jpg,Thomas Jefferson Pool and Bathhouse  Thomas Jefferson Pool and Bathhouse  Thomas Jefferson Pool and Bathhouse
Astoria Pool and Play Center,"Astoria Pool and Play Center,Queens, NYC",-73.9226516,40.7788082,Pool,Queens,7/2/1936,1936,https://c1.staticflickr.com/5/4136/4799105156_27bf1f0902_b.jpg,Astoria Pool and Play Center  Astoria Pool and Play Center  Astoria Pool and Play Center
Joseph H. Lyons Pool,"Joseph H. Lyons Pool,Staten Island, NYC",-74.0743772,40.6375676,Pool,Staten Island,7/7/1936,1936,https://www.nycgovparks.org/photo_gallery/full_size/18378.jpg,Joseph H. Lyons Pool  Joseph H. Lyons Pool  Joseph H. Lyons Pool
Highbridge Pool and Bathhouse,"Highbridge Pool and Bathhouse,Manhattan, NYC",-73.9329638,40.8446296,Pool,Manhattan,7/14/1936,1936,https://www.nycgovparks.org/photo_gallery/full_size/18308.jpg,Highbridge Pool and Bathhouse  Highbridge Pool and Bathhouse  Highbridge Pool and Bathhouse
Sunset Pool,"Sunset Pool,Brooklyn, NYC",-74.0025695,40.6471873,Pool,Brooklyn,7/20/1936,1936,http://www.nycgo.com/images/venues/6419/sunset-park-pool-marley-white-078__large.jpg,Sunset Pool  Sunset Pool  Sunset Pool  Sunset Pool  Sunset Pool  Sunset Pool
Crotona Pool,"Crotona Pool,Bronx, NYC",-73.898056,40.839942,Pool,Bronx,7/24/1936,1936,https://c1.staticflickr.com/8/7252/7864243746_012229912a_b.jpg,Crotona Pool  Crotona Pool  Crotona Pool  Crotona Pool  Crotona Pool  Crotona Pool
McCarren Pool,"McCarren Pool,Brooklyn, NYC",-73.9554315,40.7208944,Pool,Brooklyn,7/31/1936,1936,http://www.rogersmarvel.com/projects/McCarren-Pool/Rogers-Marvel-McCarren-Pool-10.jpg,McCarren Pool  McCarren Pool  McCarren Pool  McCarren Pool  McCarren Pool  McCarren Pool
Betsy Head Pool,"Betsy Head Pool,Brooklyn, NYC",-73.9126551,40.6628587,Pool,Brooklyn,8/7/1936,1936,https://www.nycgovparks.org/photo_gallery/full_size/22437.jpg,Betsy Head Pool  Betsy Head Pool  Betsy Head Pool  Betsy Head Pool  Betsy Head Pool  Betsy Head Pool
Jackie Robinson Pool and Recreation Center,"Jackie Robinson Pool and Recreation Center,Manhattan, NYC",-73.942687,40.8244188,Pool,Manhattan,8/8/1936,1936,https://www.nycgovparks.org/photo_gallery/full_size/9718.jpg,Jackie Robinson Pool and Recreation Center Jackie Robinson Pool and Recreation Center Jackie Robinson Pool and Recreation Center Jackie Robinson Pool and Recreation Center
Sol Goldman Pool,"Sol Goldman Pool,Brooklyn, NYC",-74.0038464,40.672699,Pool,Brooklyn,8/17/1936,1936,https://www.nycgovparks.org/photo_gallery/full_size/18404.jpg,Sol Goldman Pool Sol Goldman Pool Sol Goldman Pool Sol Goldman Pool Sol Goldman Pool
Asher Levy Recreation Center,"Asher Levy Recreation Center,Manhattan, NYC",-73.9756582,40.7361601,Pool,Manhattan,,1938,https://www.nycgovparks.org/photo_gallery/full_size/17805.jpg,Asher Levy Recreation Center Asher Levy Recreation Center Asher Levy Recreation Center Asher Levy Recreation Center Asher Levy Recreation Center
Carmine Street Pool and the Tony Dapolito Recreation Center,"Carmine Street Pool and the Tony Dapolito Recreation Center,Manhattan, NYC",-74.0054061,40.7296168,Pool,Manhattan,,1939,http://static.panoramio.com/photos/large/20724411.jpg,Carmine Street Pool and the Tony Dapolito Recreation Center Carmine Street Pool and the Tony Dapolito Recreation Center Carmine Street Pool and the Tony Dapolito Recreation Center Carmine Street Pool and the Tony Dapolito Recreation Center
John Jay Pool and Bathhouse,"John Jay Pool and Bathhouse,Manhattan, NYC",-73.9495759,40.7699381,Pool,Manhattan,,1940,https://40pools.files.wordpress.com/2012/07/img_2026_jj.jpg,John Jay Pool and Bathhouse John Jay Pool and Bathhouse John Jay Pool and Bathhouse John Jay Pool and Bathhouse John Jay Pool and Bathhouse John Jay Pool and Bathhouse
Recreation Center 59,"Recreation Center 59,Manhattan, NYC",-73.9886621,40.7714308,Pool,Manhattan,,1943,http://sideways.nyc/wp-content/uploads/2015/03/w60-232-gertrude-ederle-recreation-center-3-AI.jpg,Recreation Center 59 Recreation Center 59 Recreation Center 59 Recreation Center 59 Recreation Center 59 Recreation Center 59
Flushing Meadow Pool,"Flushing Meadow Pool,Queens, NYC",-73.8376576,40.7517801,Pool,Queens,,1940,http://cbbld.com/wp-content/uploads/2014/07/FlushingMeadows-Pool_05-1024x733.jpg,Flushing Meadow Pool Flushing Meadow Pool Flushing Meadow Pool Flushing Meadow Pool Flushing Meadow Pool Flushing Meadow Pool Flushing Meadow Pool
Faber Park,"Faber Park,Staten Island, NYC",-74.1357153,40.6408881,Pool,Staten Island,,1928,https://media.timeout.com/images/102695624/image.jpg,"Faber Park,Staten Island, NYC"
Henry Hudson Parkway,"Manhattan Loop,Manhattan, NYC",-73.94496,40.843934,Road,Manhattan,,1937,http://static.scripting.com/photos/archive/2010/09/21/henryHudsonParkway/original.jpg,"
Henry Hudson Parkway  Henry Hudson ParkwayHenry Hudson ParkwayHenry Hudson ParkwayHenry Hudson ParkwayHenry Hudson Parkway"
Harlem River Drive,"Manhattan Loop,Manhattan, NYC",-73.934683,40.828055,Road,Manhattan,,1964,http://www.eastcoastroads.com/states/ny/nypark/harlem/front.jpg,Harlem River Drive Harlem River Drive Harlem River DriveHarlem River DriveHarlem River Drive
Franklin Delano Roosevelt Drive,"Manhattan Loop,Manhattan, NYC",-73.966672,40.749616,Road,Manhattan,,1955,https://untappedcities-wpengine.netdna-ssl.com/wp-content/uploads/2016/07/Secret-of-the-FDR-Drive-South-Street-NYC.jpg,Franklin Delano Roosevelt Drive Franklin Delano Roosevelt DriveFranklin Delano Roosevelt DriveFranklin Delano Roosevelt DriveFranklin Delano Roosevelt Drive
